mouse_id,group,dt,experimental_day,time_sinse_start,drink,eat,eathand,groom,hang,rear,rest,sniff,walk
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 06:00:00,0,0 days 21:00:00.000000000,1553,7042,4771,5247,5547,4201,1068,77497,914
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 06:00:00,0,0 days 21:00:00.000000000,2733,10902,5213,9158,2762,4823,786,69423,2040
ef14073df447232d768224845a28e4,A,2018-08-08 06:00:00,0,0 days 21:00:00.000000000,1652,8166,8054,17555,10167,2970,12794,45627,855
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 06:00:00,0,0 days 21:00:00.000000000,238,6280,4273,4538,738,1927,61030,28644,172
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 06:00:00,0,0 days 21:00:00.000000000,478,32614,1830,8972,17522,5390,597,38030,2407
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 07:00:00,0,0 days 22:00:00.000000000,0,0,2665,3064,0,0,101149,962,0
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 07:00:00,0,0 days 22:00:00.000000000,437,8,553,3978,0,351,69976,32521,16
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 07:00:00,0,0 days 22:00:00.000000000,130,127,519,13925,115,554,73197,19179,94
ef14073df447232d768224845a28e4,A,2018-08-08 07:00:00,0,0 days 22:00:00.000000000,2,9662,7960,3060,0,186,82449,4499,22
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 07:00:00,0,0 days 22:00:00.000000000,0,28,106,78,0,0,105411,2217,0
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 07:00:00,0,0 days 22:00:00.000000000,78,7133,1754,13196,1859,2494,19221,60920,1185
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 08:00:00,0,0 days 23:00:00.000000000,40,471,4089,14061,67,327,83688,5070,27
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 08:00:00,0,0 days 23:00:00.000000000,0,0,92,630,0,0,103397,3721,0
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 08:00:00,0,0 days 23:00:00.000000000,353,6793,1153,11418,908,2009,75108,9712,386
